player1_name,player1_atprank,player1_games,player1_wins,player1_losses,player1_indoor_wins,player1_indoor_losses,player1_outdoor_wins,player1_outdoor_losses,player2_name,player2_atprank,player2_games,player2_wins,player2_losses,player2_indoor_wins,player2_indoor_losses,player2_outdoor_wins,player2_outdoor_losses,tournament_name,tournament_location,tournament_court,tournament_surface,match_date,match_odd_player1,match_odd_player2,winner_player1
Mager G.,67,59,24,35,3,7,21,28,Thompson J.,71,221,96,125,10,10,86,115,Great Ocean Road Open,Melbourne,Outdoor,Hard,2021-02-02,2.75,1.4,0
Simon G.,188,869,491,378,135,94,356,284,Ymer E.,186,81,24,57,3,11,21,46,Murray River Open,Melbourne,Outdoor,Hard,2021-02-02,1.36,3.0,1
Nam J.S.,590,3,0,3,0,0,0,3,Sweeny D.,797,2,1,1,0,0,1,1,Great Ocean Road Open,Melbourne,Outdoor,Hard,2021-02-02,1.57,2.25,0
Andujar P.,323,404,164,240,12,30,152,210,Cuevas P.,149,421,210,211,34,25,176,186,Great Ocean Road Open,Melbourne,Outdoor,Hard,2021-02-02,1.66,2.1,0
Herbert P.H.,157,202,89,113,31,38,58,75,Cressy M.,96,96,42,54,10,11,32,43,Great Ocean Road Open,Melbourne,Outdoor,Hard,2021-02-02,1.44,2.62,1
Smith J.P.,306,27,5,22,0,2,5,20,Sandgren T.,153,121,47,74,2,9,45,65,Great Ocean Road Open,Melbourne,Outdoor,Hard,2021-02-02,2.37,1.53,0
Giron M.,69,150,68,82,20,14,48,68,Mmoh M.,112,55,20,35,0,3,20,32,Murray River Open,Melbourne,Outdoor,Hard,2021-02-02,2.1,1.66,1
Laaksonen H.,125,101,37,64,7,16,30,48,Querrey S.,287,678,369,309,48,39,321,270,Great Ocean Road Open,Melbourne,Outdoor,Hard,2021-02-02,2.5,1.5,0
Ruusuvuori E.,55,158,79,79,16,18,63,61,Troicki V.,230,525,269,256,61,51,208,205,Murray River Open,Melbourne,Outdoor,Hard,2021-02-02,1.28,3.5,1
Fucsovics M.,67,249,121,128,26,24,95,104,Gerasimov E.,150,93,43,50,19,19,24,31,Murray River Open,Melbourne,Outdoor,Hard,2021-02-02,1.5,2.5,0
Giron M.,69,150,68,82,20,14,48,68,Mannarino A.,27,567,264,303,60,73,204,230,Murray River Open,Melbourne,Outdoor,Hard,2021-02-02,2.1,1.66,1
Evans D.,30,251,124,127,18,16,106,111,Sousa P.,475,36,9,27,1,3,8,24,Murray River Open,Melbourne,Outdoor,Hard,2021-02-02,1.14,5.5,1
Delbonis F.,131,340,152,188,19,23,133,165,Ebden M.,432,203,75,128,13,18,62,110,Great Ocean Road Open,Melbourne,Outdoor,Hard,2021-02-02,,,0
